ESTACION;CODIGO;X;Y;MUNICIPIO;CUENCA;Jahr;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1985;11,4;0;36,3;25,5;88,2;16,5;53,5;52,8;104,8;75,1;43,6;31,8
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1984;55,5;62,5;42,8;43,1;98,6;87,9;28,1;65,7;56,5;100;76;15,3
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1983;13,1;32,7;106;195,4;72,7;31,5;37,5;25,9;25,1;73,5;17,9;54,2
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1982;49,1;25,9;62,9;196,9;78,4;16,7;26,3;25;25,4;108;43,6;39,4
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1981;9,7;19,1;17,5;154,7;214,6;72,9;20,3;27,3;43,3;33,1;88,8;20,2
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1980;3,8;84,6;4,6;53,4;29,9;67,3;0;31,5;20;44,4;28,9;64,6
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1979;23,8;49,9;66,6;131,4;71,8;78,9;41,9;81,1;60;191,5;118,7;36,8
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1978;0;19,4;100,8;96,8;79;60,1;34,1;16,2;68,9;91,7;25,7;9,9
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1977;11,8;15,1;2;91,9;72,8;90,1;50;59,5;83,9;75,6;125,5;19,9
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1976;17,6;50,5;63,6;154,5;88,7;43,8;41,1;30,5;80,3;152,2;66,9;23,4
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1975;1,9;73,3;77;56,1;68,3;34,5;51,8;57,3;75,8;136;79,4;93,8
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1974;48;48,1;36,6;85,8;113;17;30;35;92,5;72,4;105;28,3
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1973;1;0;82;66,7;50,4;48,9;54,3;58,4;149,5;100;69,8;90,6
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1972;76,4;35,2;76;192,6;191;116;28;17;15;37;127;9
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1971;46;57,1;104,4;169,4;80,8;49,9;40,5;78,6;100,6;69,6;105,6;72,3
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1970;27,3;55,2;14,6;44;86,2;39,3;38,6;30,1;81,5;155,1;109;31,4
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1969;55,1;24,7;36,1;145,5;100,9;101;30;50,3;89,4;174,2;94,2;35,6
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1968;14,8;55,5;21,1;155,3;94,2;91,7;41,3;16,2;95,5;91,8;71,7;16,5
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1967;37,2;64,3;72,9;91,7;79,5;110,1;89;39;23,9;62,1;104,8;25,6
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1966;11,5;26,3;73,8;63,6;87,2;84;45,6;80,2;84,6;70;183,7;71,7
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;1965;0;0;0;0;0;0;0;3,2;14,5;116,9;124,7;67,9
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2003;9,1;15,8;45,5;95,7;16,7;0;0;0;0;0;0;0
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;2003;38,4;15,7;36,1;118,1;24,6;0;0;0;0;0;0;0
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2003;3,2;8,1;41,5;51,4;85,7;0;0;329,3;310,5;296;198,8;154,3
La Picota;2120156;995500;994600;Santafe de Bogota;R. Tunjuelo;2003;12,4;35,6;49,7;47,1;8,6;0;0;13,6;45,3;54,5;59,7;34,3
Torca;2120077;1021800;1005320;Santafe de Bogota;R. Bogota;2003;43,9;86,7;69,7;208;50,6;91,4;27,5;46,5;118,5;330;195,1;40,7
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;2004;16;91,5;51,2;159,9;115,2;44,3;40,1;37,6;81,5;172,2;78,2;2
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2004;0;0;0;0;0;0;0;0;1,2;139,8;112,4;34
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2004;0;58,6;66,1;111,5;174;1,7;79,8;45;0;0;0;0
La Picota;2120156;995500;994600;Santafe de Bogota;R. Tunjuelo;2004;4,8;0;34,4;118,2;87,8;83,6;37,8;38,4;35,3;126,6;111,5;39,6
Torca;2120077;1021800;1005320;Santafe de Bogota;R. Bogota;2004;26,8;75,1;50,8;157,9;78,1;78,8;0;0;0;0;0;0
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;2005;27,7;81,6;56,9;88,3;3,4;0;0;41,7;91,1;85,7;65,9;37
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2005;14,3;39,3;35,7;84,8;119,1;53,2;37;22;59;91,4;63,8;27,4
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2005;0;0;0;0;112,6;21,9;64,8;9,7;16;15,2;15,2;1
La Picota;2120156;995500;994600;Santafe de Bogota;R. Tunjuelo;2005;13,9;2,6;18,4;44,7;101,4;34,8;28;16;72,5;83,7;45,7;56,3
Torca;2120077;1021800;1005320;Santafe de Bogota;R. Bogota;2005;0;0;0;0;0;0;0;0;0;0;0;0
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;2006;28;0;0;0;0;0;0;0;0;0;0;4,5
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2006;53,7;4,8;90,8;141,3;80,5;102,9;45,1;35,7;22,8;156,3;84;9,5
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2006;90,2;2,8;82,1;97,8;106,8;113,3;156,9;42,3;16,2;77,2;86;24,2
La Picota;2120156;995500;994600;Santafe de Bogota;R. Tunjuelo;2006;115,6;9,4;118,4;109,4;64,5;23,7;40,2;2,7;6,3;115;129,9;26,5
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;1999;38,2;99,2;47,7;54,6;57,6;51,6;16,5;40,9;81,4;85,6;95,5;25,5
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;1998;3,9;10,5;55,6;20,7;166,6;56,8;69,5;45;27;56,2;58,6;122,2
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;1997;105,2;20,3;54,2;30,8;32,7;79,3;65,3;27,9;31,2;30;56,3;2
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;1996;63,6;63,4;109,2;43,1;109,7;31,7;81;35,3;32,8;73,2;73,4;47,1
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;1995;5,3;10,3;48,5;64;96,9;63,4;30,7;45,1;18,9;49,9;95,5;89,6
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;1994;58;47,5;103,8;82,4;109,9;50,6;72,7;47,5;27,4;54,5;143,6;10,5
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;1993;30,5;10,8;0;0;0;0;0;16,6;37;24,6;102,3;3,7
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;1992;18,8;31,9;23,6;67,4;37;33;63,4;53,2;51,2;14,9;105,9;22,6
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;1991;4,8;15,7;114,7;85,3;73,6;34,4;81,7;96,9;30,4;14,3;57,8;38,3
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;1990;21,1;51,6;92;66,7;129,3;46,3;28,3;40,5;24;124,1;27,6;70,5
