UniPais;Pais;SC.Lac.Ranking;QS.Ranking;WEB.Ranking.LA;SC.Ibe.Ranking;WEB.Ranking.mundial;QS.Puntuacion;QS.Reputacion.academica;QS.Reputacion.entre.empleadores;QS.Estudiantes.por.profesor;QS.PromArticulos.por.docente;QS.Citas.por.articulo;QS.Docentes.con.doctorado;QS.Impacto.Web;SC.Co.Ranking;SC.Productividad;SC.Colaboracion.Interciol;SC.Impacto.normalizado;SC.Publicaciones.de.alta.calidad;SC.Indice.de.especializacion;SC.Indice.de.excelencia;SC.Liderazgo.cientifico;SC.Excelencia.con.liderazgo;WEB.Presencia;WEB.Impacto;WEB.Apertura;WEB.Excelencia
NAL DEL SUR - ARG;ARG;57;82;110;108;1839;53,9;60,4;24,3;44,8;62,5;56,7;46,2;77,2;6;2047;32,44;0,74;47,92;0,12;7,59;70,25;4,22;6769;6689;8023;3722
PERUA CAYETANO HEREDIA - PER;PER;101;65;193;161;2783;59,3;46,2;20,8;88,5;76,8;100;66,7;56,7;1;1105;72,85;1,26;57,74;0,59;12,81;41,27;2,4;2297;5718;5884;3706
AUTONOMA DE NUEVO LEON (UANL) - MEX;MEX;49;64;51;93;1150;59,8;72,7;53,4;11;31,6;66,9;48,3;91,2;6;2392;33,78;0,6;29,89;0,35;7,13;59,62;3,87;7176;9019;9007;3706
Es DE LONDRI - BRA;BRA;43;74;62;85;1295;55,6;31,8;43;64,9;66,1;35,6;96,6;89,5;28;2774;14,92;0,57;26,53;0,18;5,7;63,37;2,94;7093;8676;8917;3672
SAN FRANCISCO DE QUITO - ECU;ECU;181;71;141;257;2170;57,2;59,3;43,2;24,9;31;85,6;71,1;72,1;1;415;93,49;2,02;76,87;0,7;30,32;12,77;1,47;5476;6809;6497;3637
GUAJUATO - MEX;MEX;59;100;95;111;1676;49,1;41,5;18,6;58,4;60,7;56,2;53;81,7;9;1960;41,89;0,75;34,34;0,09;8,21;54,74;3,08;7378;7227;8228;3632
Fe DE LAVRAS - BRA;BRA;34;104;101;72;1712;47,4;18,9;13;67,6;99,9;23;100;81,8;21;3441;12,41;0,55;20,26;0,64;4,57;55,22;2,52;6358;7468;8524;3625
POTFIC CATOLICA DO PARA -PUCPR - BRA;BRA;76;92;69;134;1416;51,5;24,3;43,8;13,1;70,2;65,4;96,4;89;40;1486;20,73;0,91;26,92;0,1;9,49;59,08;4,64;6592;9202;7561;3572
TECNOLOGICO DE MONTERREY (ITESM) - MEX;MEX;56;7;28;107;785;91,4;97;100;94;42,6;63,6;89,5;96,6;8;2057;40,54;0,79;27,71;0,05;8,6;63,1;4,48;7730;10308;9024;3572
DEL VALLE - COL;COL;68;51;72;123;1434;65,2;87,3;61,4;23,7;52,2;38,4;38,5;88,5;4;1756;48,01;0,58;24,72;0,1;5,42;56,21;1,85;7333;8456;8654;3514
GUADALAJARA (UDG) - MEX;MEX;48;59;25;92;764;63;78,3;57,5;90,8;9,6;41,1;16,7;96,9;5;2531;34,45;0,55;31,69;0,35;5,25;54,13;2,18;7931;10259;9240;3486
VP - CHL;CHL;99;83;159;159;2386;53;48;49,1;30,4;46,3;94,7;25,6;69,1;10;1121;52,45;1,05;39,16;0,11;9,89;48,62;2,81;4103;6715;6685;3481
NAL DE TUCUMAN - ARG;ARG;81;74;122;139;1992;55,6;76,7;48,7;16,3;25,6;69,6;17;77,4;8;1392;32,61;0,75;42,53;0,17;7,87;57,18;3,16;5924;7141;7644;3481
LOS ANDES MERIDA - VEN;VEN;75;61;46;133;1011;60,8;79;59,7;18,6;21,2;48,1;45,3;94;3;1502;47;0,59;26,7;0,19;5,68;58,99;1,69;8095;9424;9019;3476
CATOLICA DEL NORTE - CHL;CHL;98;86;100;158;1701;52,3;40,1;42,4;26,1;78,8;45,2;64,2;82,8;9;1130;56,55;0,73;41,33;0,29;7,65;46,46;2,85;7534;8672;4531;3467
AUTONOMA DEL ESTADO DE MORELOS - MEX;MEX;73;124;216;131;3080;42,8;25,8;8,7;29,4;69,3;82,6;81,7;53,3;12;1541;33,03;0,64;41,34;0,16;7,03;53,54;2,52;4677;4364;6056;3458
NAL DE SAN MARTIN (UNSAM) - ARG;ARG;113;125;172;177;2514;42,7;47,4;14,3;42,9;30,8;88;12,6;65,2;13;941;39,64;0,96;55,58;0,08;11,07;34,33;3,07;571;7359;6500;3437
INDUSTRIAL DE SANTANDER - COL;COL;95;69;113;154;1857;58,3;61,4;73,2;23,1;53,2;58,3;15,6;78,5;6;1183;45,31;0,66;28,06;0,1;7,43;58,92;3,07;6184;6849;8768;3421
AUTONOMA DE YUCATAN - MEX;MEX;106;140;143;167;2179;40,8;44,6;11,3;29,7;50,2;57;25;73,4;17;994;34,41;0,71;34,51;0,14;8,16;51,51;2,69;5580;6486;7926;3412
Fe DE JUIZ DE FORA - BRA;BRA;55;130;87;106;1604;42;14,4;;90,1;62,4;59,6;62;85,7;33;2089;21,92;0,92;32,65;0,12;8,18;56,25;2,23;6105;8222;8820;3402
DO NORTE FLUMINENSE Es - BRA;BRA;23;138;239;48;3418;40,9;7;17,7;53,1;99,2;38,5;100;45,8;15;5291;23,34;0,68;34,53;0,35;6,38;54,05;2,68;725;4126;7308;3392
Fe DO ESPIRITO SANTO - BRA;BRA;46;142;83;89;1551;40,3;16,1;4,5;61,8;65,4;21,9;93,3;87,2;30;2633;19,79;0,62;24,15;0,07;4,49;57,42;2,07;6710;8380;8673;3392
NAL DE SAN LUIS - ARG;ARG;103;84;86;163;1601;52,9;51,9;30,3;42,9;44,5;85,7;31,9;86,6;11;1039;40,81;0,79;49,76;0,1;9,07;59;3,9;6145;8491;8543;3358
AUTONOMA DE BAJA CALIFORNIA - MEX;MEX;85;142;81;143;1536;40,3;50,9;17,7;25,3;21,8;35,9;27;88,3;13;1358;38,22;0,64;25,11;0,06;5,67;59,13;1,64;6209;8971;8157;3335
SIMON BOLIVAR VENEZUELA - VEN;VEN;66;32;78;121;1499;76,3;81,7;75,8;32,2;89,5;31,8;93,6;88,5;2;1794;44,2;0,61;25,25;0,11;4,92;64,38;2,49;7497;8484;8432;3327
Fe DE OURO PRETO - BRA;BRA;78;110;93;137;1670;45,1;22,3;;77,3;68,4;45,9;89,4;84,7;41;1414;20,44;0,77;36,35;0,24;7,74;47,38;3,23;6419;7950;8721;3315
LA HABA - CUB;CUB;77;91;60;135;1280;51,6;90,4;;27,7;18,4;50,5;35,8;91,7;1;1469;66,03;0,52;35,53;0,08;5,39;44,45;1,11;7772;9654;6950;3315
POTFIC CATOLICA DE VP - CHL;CHL;82;29;50;140;1060;77,3;87,7;88,9;19,6;76,6;33,9;77,7;93;7;1386;41,92;0,69;34,34;0,02;7,95;60,39;3,39;5736;10530;7380;3300
POTFIC JAVERIA - COL;COL;74;31;61;132;1289;76,5;98,8;99,8;65,9;23,8;39,4;17,4;92;5;1509;43,74;0,78;23,86;0,07;6,81;59,31;1,42;7233;9360;8546;3289
